dataset,sources,accuracy,ID,Seed,Parameters
Cal500,Vocals,0.16666666666666666,73,70,32
Cal500,Vocals,0.18055555555555555,74,70,33
Cal500,Vocals + Vocals,0.18055555555555555,73,70,34
Cal500,Vocals + Vocals,0.19444444444444445,74,70,35
Cal500,Instrumental,0.16666666666666666,81,80,0
Cal500,Instrumental,0.16666666666666666,82,80,1
Cal500,Instrumental + Instrumental,0.18055555555555555,81,80,2
Cal500,Instrumental + Instrumental,0.18055555555555555,82,80,3
Cal500,Instrumental + Mixed,0.20833333333333334,81,80,4
Cal500,Instrumental + Mixed,0.20833333333333334,82,80,5
Cal500,Instrumental + Vocals,0.19444444444444445,81,80,6
Cal500,Instrumental + Vocals,0.19444444444444445,82,80,7
Cal500,Mixed,0.16666666666666666,81,80,8
Cal500,Mixed,0.1527777777777778,82,80,9
Cal500,Mixed + Mixed,0.1527777777777778,81,80,10
Cal500,Mixed + Mixed,0.1527777777777778,82,80,11
Cal500,Mixed + Vocals,0.18055555555555555,81,80,12
Cal500,Mixed + Vocals,0.19444444444444445,82,80,13
Cal500,Vocals,0.16666666666666666,81,80,14
Cal500,Vocals,0.16666666666666666,82,80,15
Cal500,Vocals + Vocals,0.16666666666666666,81,80,16
Cal500,Vocals + Vocals,0.18055555555555555,82,80,17
Cal500,Instrumental,0.18055555555555555,83,80,18
Cal500,Instrumental,0.1111111111111111,84,80,19
Cal500,Instrumental + Instrumental,0.18055555555555555,83,80,20
Cal500,Instrumental + Instrumental,0.18055555555555555,84,80,21
Cal500,Instrumental + Mixed,0.20833333333333334,83,80,22
Cal500,Instrumental + Mixed,0.18055555555555555,84,80,23
Cal500,Instrumental + Vocals,0.2361111111111111,83,80,24
Cal500,Instrumental + Vocals,0.20833333333333334,84,80,25
Cal500,Mixed,0.19444444444444445,83,80,26
Cal500,Mixed,0.16666666666666666,84,80,27
Cal500,Mixed + Mixed,0.16666666666666666,83,80,28
Cal500,Mixed + Mixed,0.19444444444444445,84,80,29
Cal500,Mixed + Vocals,0.2361111111111111,83,80,30
Cal500,Mixed + Vocals,0.20833333333333334,84,80,31
Cal500,Vocals,0.18055555555555555,83,80,32
Cal500,Vocals,0.2222222222222222,84,80,33
Cal500,Vocals + Vocals,0.20833333333333334,83,80,34
Cal500,Vocals + Vocals,0.19444444444444445,84,80,35
Emotify,Instrumental,0.27906976744186046,11,10,36
Emotify,Instrumental,0.3023255813953488,12,10,37
Emotify,Instrumental + Instrumental,0.27906976744186046,11,10,38
Emotify,Instrumental + Instrumental,0.2558139534883721,12,10,39
Emotify,Instrumental + Mixed,0.2558139534883721,11,10,40
Emotify,Instrumental + Mixed,0.27906976744186046,12,10,41
Emotify,Instrumental + Vocals,0.27906976744186046,11,10,42
Emotify,Instrumental + Vocals,0.27906976744186046,12,10,43
Emotify,Mixed,0.3023255813953488,11,10,44
Emotify,Mixed,0.4186046511627907,12,10,45
Emotify,Mixed + Mixed,0.3953488372093023,11,10,46
Emotify,Mixed + Mixed,0.37209302325581395,12,10,47
Emotify,Mixed + Vocals,0.32558139534883723,11,10,48
Emotify,Mixed + Vocals,0.32558139534883723,12,10,49
Emotify,Vocals,0.27906976744186046,11,10,50
Emotify,Vocals,0.27906976744186046,12,10,51
Emotify,Vocals + Vocals,0.27906976744186046,11,10,52
Emotify,Vocals + Vocals,0.23255813953488372,12,10,53
Emotify,Instrumental,0.37209302325581395,13,10,54
Emotify,Instrumental,0.4186046511627907,14,10,55
Emotify,Instrumental + Instrumental,0.3953488372093023,13,10,56
Emotify,Instrumental + Instrumental,0.3488372093023256,14,10,57
Emotify,Instrumental + Mixed,0.32558139534883723,13,10,58
Emotify,Instrumental + Mixed,0.4186046511627907,14,10,59
Emotify,Instrumental + Vocals,0.3953488372093023,13,10,60
Emotify,Instrumental + Vocals,0.37209302325581395,14,10,61
Emotify,Mixed,0.3488372093023256,13,10,62
Emotify,Mixed,0.37209302325581395,14,10,63
Emotify,Mixed + Mixed,0.37209302325581395,13,10,64
Emotify,Mixed + Mixed,0.3488372093023256,14,10,65
Emotify,Mixed + Vocals,0.37209302325581395,13,10,66
Emotify,Mixed + Vocals,0.4186046511627907,14,10,67
