,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Classifier__SVC__estimator__C,param_Classifier__SVC__estimator__kernel,param_Scaler,param_Selector__max_features,param_Classifier__SVC__estimator__gamma,param_Classifier__SVC__estimator__coef0,param_Classifier__SVC__estimator__degree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
4175,0.4470781485239665,0.10601669518338827,0.049863576889038086,0.002713946706880825,10.0,poly,StandardScaler(),32,0.1,6.0,6.0,"{'Classifier__SVC__estimator__C': 10, 'Classifier__SVC__estimator__coef0': 6, 'Classifier__SVC__estimator__degree': 6, 'Classifier__SVC__estimator__gamma': 0.1, 'Classifier__SVC__estimator__kernel': 'poly', 'Scaler': StandardScaler(), 'Selector__max_features': 32}",0.3411764705882353,0.3058823529411765,0.3341176470588235,0.3270588235294118,0.015248801643312602,256
4176,0.4334099292755127,0.028273150922828734,0.0689698060353597,0.002097115368557397,10.0,poly,MinMaxScaler(),4,0.0001,6.0,8.0,"{'Classifier__SVC__estimator__C': 10, 'Classifier__SVC__estimator__coef0': 6, 'Classifier__SVC__estimator__degree': 8, 'Classifier__SVC__estimator__gamma': 0.0001, 'Classifier__SVC__estimator__kernel': 'poly', 'Scaler': MinMaxScaler(), 'Selector__max_features': 4}",0.16941176470588235,0.17882352941176471,0.16470588235294117,0.17098039215686275,0.005869266489057169,4851
4177,0.6033052603403727,0.03744257507363085,0.06525778770446777,0.0036130206089281425,10.0,poly,MinMaxScaler(),8,0.0001,6.0,8.0,"{'Classifier__SVC__estimator__C': 10, 'Classifier__SVC__estimator__coef0': 6, 'Classifier__SVC__estimator__degree': 8, 'Classifier__SVC__estimator__gamma': 0.0001, 'Classifier__SVC__estimator__kernel': 'poly', 'Scaler': MinMaxScaler(), 'Selector__max_features': 8}",0.16941176470588235,0.18588235294117647,0.20705882352941177,0.18745098039215688,0.015409319768147847,4757
4178,0.896312952041626,0.07593781648705283,0.0641024112701416,0.005433507845556997,10.0,poly,MinMaxScaler(),12,0.0001,6.0,8.0,"{'Classifier__SVC__estimator__C': 10, 'Classifier__SVC__estimator__coef0': 6, 'Classifier__SVC__estimator__degree': 8, 'Classifier__SVC__estimator__gamma': 0.0001, 'Classifier__SVC__estimator__kernel': 'poly', 'Scaler': MinMaxScaler(), 'Selector__max_features': 12}",0.19294117647058823,0.15058823529411763,0.2023529411764706,0.1819607843137255,0.0225140393637762,4789
4179,1.0794265270233154,0.01966079534130469,0.0635835329691569,0.0038546529737018996,10.0,poly,MinMaxScaler(),16,0.0001,6.0,8.0,"{'Classifier__SVC__estimator__C': 10, 'Classifier__SVC__estimator__coef0': 6, 'Classifier__SVC__estimator__degree': 8, 'Classifier__SVC__estimator__gamma': 0.0001, 'Classifier__SVC__estimator__kernel': 'poly', 'Scaler': MinMaxScaler(), 'Selector__max_features': 16}",0.21176470588235294,0.23058823529411765,0.2164705882352941,0.2196078431372549,0.007998461982106332,4244
4180,1.397760311762492,0.03441929594403379,0.06304486592610677,0.0023634265294488,10.0,poly,MinMaxScaler(),20,0.0001,6.0,8.0,"{'Classifier__SVC__estimator__C': 10, 'Classifier__SVC__estimator__coef0': 6, 'Classifier__SVC__estimator__degree': 8, 'Classifier__SVC__estimator__gamma': 0.0001, 'Classifier__SVC__estimator__kernel': 'poly', 'Scaler': MinMaxScaler(), 'Selector__max_features': 20}",0.2541176470588235,0.23294117647058823,0.2376470588235294,0.2415686274509804,0.009079087766894284,3536
4181,1.8448967933654785,0.039852323846649974,0.05889415740966797,0.007654919337780808,10.0,poly,MinMaxScaler(),24,0.0001,6.0,8.0,"{'Classifier__SVC__estimator__C': 10, 'Classifier__SVC__estimator__coef0': 6, 'Classifier__SVC__estimator__degree': 8, 'Classifier__SVC__estimator__gamma': 0.0001, 'Classifier__SVC__estimator__kernel': 'poly', 'Scaler': MinMaxScaler(), 'Selector__max_features': 24}",0.2164705882352941,0.21176470588235294,0.2023529411764706,0.21019607843137256,0.005869266489057156,4462
4182,2.1997110843658447,0.28925866796855504,0.05661416053771973,0.0040188637391880685,10.0,poly,MinMaxScaler(),28,0.0001,6.0,8.0,"{'Classifier__SVC__estimator__C': 10, 'Classifier__SVC__estimator__coef0': 6, 'Classifier__SVC__estimator__degree': 8, 'Classifier__SVC__estimator__gamma': 0.0001, 'Classifier__SVC__estimator__kernel': 'poly', 'Scaler': MinMaxScaler(), 'Selector__max_features': 28}",0.27058823529411763,0.22823529411764706,0.2635294117647059,0.2541176470588235,0.018527077350616022,2935
4183,3.062367041905721,0.24066032529376932,0.05322623252868652,0.006214139214292273,10.0,poly,MinMaxScaler(),32,0.0001,6.0,8.0,"{'Classifier__SVC__estimator__C': 10, 'Classifier__SVC__estimator__coef0': 6, 'Classifier__SVC__estimator__degree': 8, 'Classifier__SVC__estimator__gamma': 0.0001, 'Classifier__SVC__estimator__kernel': 'poly', 'Scaler': MinMaxScaler(), 'Selector__max_features': 32}",0.23058823529411765,0.2917647058823529,0.25882352941176473,0.26039215686274514,0.024999807765504662,2566
4184,2.412196238835653,0.04280310349871756,0.07416454950968425,0.008893448054393715,10.0,poly,StandardScaler(),4,0.0001,6.0,8.0,"{'Classifier__SVC__estimator__C': 10, 'Classifier__SVC__estimator__coef0': 6, 'Classifier__SVC__estimator__degree': 8, 'Classifier__SVC__estimator__gamma': 0.0001, 'Classifier__SVC__estimator__kernel': 'poly', 'Scaler': StandardScaler(), 'Selector__max_features': 4}",0.22588235294117648,0.17647058823529413,0.17882352941176471,0.19372549019607843,0.022758616672230444,4727
4185,5.295189460118611,0.7979124315998275,0.06594475110371907,0.009298797791685505,10.0,poly,StandardScaler(),8,0.0001,6.0,8.0,"{'Classifier__SVC__estimator__C': 10, 'Classifier__SVC__estimator__coef0': 6, 'Classifier__SVC__estimator__degree': 8, 'Classifier__SVC__estimator__gamma': 0.0001, 'Classifier__SVC__estimator__kernel': 'poly', 'Scaler': StandardScaler(), 'Selector__max_features': 8}",0.27058823529411763,0.21176470588235294,0.21411764705882352,0.23215686274509803,0.02719205619350543,3878
4186,7.606940348943074,0.9331214511308882,0.06334129969278972,0.00775906701549047,10.0,poly,StandardScaler(),12,0.0001,6.0,8.0,"{'Classifier__SVC__estimator__C': 10, 'Classifier__SVC__estimator__coef0': 6, 'Classifier__SVC__estimator__degree': 8, 'Classifier__SVC__estimator__gamma': 0.0001, 'Classifier__SVC__estimator__kernel': 'poly', 'Scaler': StandardScaler(), 'Selector__max_features': 12}",0.23294117647058823,0.22588235294117648,0.1952941176470588,0.21803921568627452,0.016339346396862485,4294
