,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Classifier__SVC__estimator__C,param_Classifier__SVC__estimator__kernel,param_Scaler,param_Selector__max_features,param_Classifier__SVC__estimator__gamma,param_Classifier__SVC__estimator__coef0,param_Classifier__SVC__estimator__degree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1241,0.4611203670501709,0.08532768597547791,0.13735461235046387,0.007348930082899835,0.001,poly,MinMaxScaler(),20,0.0001,4.0,5.0,"{'Classifier__SVC__estimator__C': 0.001, 'Classifier__SVC__estimator__coef0': 4, 'Classifier__SVC__estimator__degree': 5, 'Classifier__SVC__estimator__gamma': 0.0001, 'Classifier__SVC__estimator__kernel': 'poly', 'Scaler': MinMaxScaler(), 'Selector__max_features': 20}",0.22608695652173913,0.08733624454148471,0.18340611353711792,0.16560977153344725,0.05802569752727717,2344
1242,0.46955251693725586,0.16742946844144954,0.11912075678507487,0.009700896566716959,0.001,poly,MinMaxScaler(),24,0.0001,4.0,5.0,"{'Classifier__SVC__estimator__C': 0.001, 'Classifier__SVC__estimator__coef0': 4, 'Classifier__SVC__estimator__degree': 5, 'Classifier__SVC__estimator__gamma': 0.0001, 'Classifier__SVC__estimator__kernel': 'poly', 'Scaler': MinMaxScaler(), 'Selector__max_features': 24}",0.23043478260869565,0.07860262008733625,0.24017467248908297,0.18307069172837162,0.07397702282023293,1827
1243,0.573845624923706,0.11313772832200882,0.14115238189697266,0.011903357759635285,0.001,poly,StandardScaler(),2,0.0001,4.0,5.0,"{'Classifier__SVC__estimator__C': 0.001, 'Classifier__SVC__estimator__coef0': 4, 'Classifier__SVC__estimator__degree': 5, 'Classifier__SVC__estimator__gamma': 0.0001, 'Classifier__SVC__estimator__kernel': 'poly', 'Scaler': StandardScaler(), 'Selector__max_features': 2}",0.2391304347826087,0.08296943231441048,0.1615720524017467,0.1612239731662553,0.06375293740858161,2411
1244,0.48151882489522296,0.08368361467361536,0.09916019439697266,0.005203669380195466,0.001,poly,StandardScaler(),4,0.0001,4.0,5.0,"{'Classifier__SVC__estimator__C': 0.001, 'Classifier__SVC__estimator__coef0': 4, 'Classifier__SVC__estimator__degree': 5, 'Classifier__SVC__estimator__gamma': 0.0001, 'Classifier__SVC__estimator__kernel': 'poly', 'Scaler': StandardScaler(), 'Selector__max_features': 4}",0.24782608695652175,0.09170305676855896,0.22270742358078602,0.18741218910195556,0.0684490823968425,1735
1245,0.34526975949605304,0.03073894699997426,0.11608131726582845,0.009328323422786932,0.001,poly,StandardScaler(),6,0.0001,4.0,5.0,"{'Classifier__SVC__estimator__C': 0.001, 'Classifier__SVC__estimator__coef0': 4, 'Classifier__SVC__estimator__degree': 5, 'Classifier__SVC__estimator__gamma': 0.0001, 'Classifier__SVC__estimator__kernel': 'poly', 'Scaler': StandardScaler(), 'Selector__max_features': 6}",0.23478260869565218,0.08733624454148471,0.22707423580786026,0.18306436301499907,0.06776311313688645,1845
1246,0.4310444990793864,0.0867234277311471,0.11305586496988933,0.018691863998181568,0.001,poly,StandardScaler(),8,0.0001,4.0,5.0,"{'Classifier__SVC__estimator__C': 0.001, 'Classifier__SVC__estimator__coef0': 4, 'Classifier__SVC__estimator__degree': 5, 'Classifier__SVC__estimator__gamma': 0.0001, 'Classifier__SVC__estimator__kernel': 'poly', 'Scaler': StandardScaler(), 'Selector__max_features': 8}",0.23043478260869565,0.09606986899563319,0.22270742358078602,0.18307069172837162,0.061599704471783444,1827
1247,0.739617665608724,0.11752159266806249,0.13574369748433432,0.07363262893578636,0.001,poly,StandardScaler(),10,0.0001,4.0,5.0,"{'Classifier__SVC__estimator__C': 0.001, 'Classifier__SVC__estimator__coef0': 4, 'Classifier__SVC__estimator__degree': 5, 'Classifier__SVC__estimator__gamma': 0.0001, 'Classifier__SVC__estimator__kernel': 'poly', 'Scaler': StandardScaler(), 'Selector__max_features': 10}",0.25217391304347825,0.09606986899563319,0.2096069868995633,0.18595025631289155,0.06588803036748866,1775
1248,0.38254332542419434,0.02372021370840571,0.22348650296529135,0.019793621178267728,0.001,poly,StandardScaler(),12,0.0001,4.0,5.0,"{'Classifier__SVC__estimator__C': 0.001, 'Classifier__SVC__estimator__coef0': 4, 'Classifier__SVC__estimator__degree': 5, 'Classifier__SVC__estimator__gamma': 0.0001, 'Classifier__SVC__estimator__kernel': 'poly', 'Scaler': StandardScaler(), 'Selector__max_features': 12}",0.2391304347826087,0.08733624454148471,0.22707423580786026,0.1845136383773179,0.06889084306821022,1800
1249,0.4262838363647461,0.056083626716740935,0.21278889973958334,0.017975507420079164,0.001,poly,StandardScaler(),14,0.0001,4.0,5.0,"{'Classifier__SVC__estimator__C': 0.001, 'Classifier__SVC__estimator__coef0': 4, 'Classifier__SVC__estimator__degree': 5, 'Classifier__SVC__estimator__gamma': 0.0001, 'Classifier__SVC__estimator__kernel': 'poly', 'Scaler': StandardScaler(), 'Selector__max_features': 14}",0.2391304347826087,0.08296943231441048,0.22270742358078602,0.18160243022593506,0.07006558847249202,1903
1250,0.5627313454945883,0.24739228278940303,0.3142886956532796,0.15478903855036555,0.001,poly,StandardScaler(),16,0.0001,4.0,5.0,"{'Classifier__SVC__estimator__C': 0.001, 'Classifier__SVC__estimator__coef0': 4, 'Classifier__SVC__estimator__degree': 5, 'Classifier__SVC__estimator__gamma': 0.0001, 'Classifier__SVC__estimator__kernel': 'poly', 'Scaler': StandardScaler(), 'Selector__max_features': 16}",0.23043478260869565,0.07423580786026202,0.2314410480349345,0.1787038795012974,0.0738712241531364,1984
