,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_coef0,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
152,0.4819326877593994,0.008404864581835389,0.017824411392211914,0.0016277546746295678,100.0,-1.0,0.01,sigmoid,"{'C': 100, 'coef0': -1, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.3411764705882353,0.31496062992125984,0.2952755905511811,0.33070866141732286,0.31496062992125984,0.3194163964798518,0.015642904428241303,43
153,0.530781602859497,0.018106167765012615,0.015428638458251953,0.0030819717187702627,100.0,-1.0,0.001,sigmoid,"{'C': 100, 'coef0': -1, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.27450980392156865,0.3031496062992126,0.3110236220472441,0.40551181102362205,0.35826771653543305,0.3304925119654161,0.046173786903242614,35
154,0.654622220993042,0.009474184514675695,0.021881675720214842,0.0018259145355784415,100.0,-1.0,0.0001,sigmoid,"{'C': 100, 'coef0': -1, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.23137254901960785,0.2637795275590551,0.2795275590551181,0.2795275590551181,0.32677165354330706,0.2761957696464412,0.030800668331096827,71
155,0.6352203369140625,0.022660505890360172,0.018547630310058592,0.0021196336672394565,100.0,-1.0,0.0001,sigmoid,"{'C': 100, 'coef0': -1, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.23137254901960785,0.2637795275590551,0.2795275590551181,0.2795275590551181,0.32677165354330706,0.2761957696464412,0.030800668331096827,71
156,0.5193295001983642,0.014363445606501192,0.022155904769897462,0.001437587772390186,100.0,-0.1,1.0,sigmoid,"{'C': 100, 'coef0': -0.1, 'gamma': 1, 'kernel': 'sigmoid'}",0.11764705882352941,0.16929133858267717,0.20078740157480315,0.10236220472440945,0.11023622047244094,0.14006484483557205,0.03835416500493545,215
157,0.47777671813964845,0.022855002202441257,0.019237184524536134,0.0019219288120341806,100.0,-0.1,0.1,sigmoid,"{'C': 100, 'coef0': -0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.17647058823529413,0.14960629921259844,0.2047244094488189,0.14960629921259844,0.14566929133858267,0.1652153774895785,0.022614064245166918,150
158,0.45806064605712893,0.017699089319286015,0.012578725814819336,0.00345671632213367,100.0,-0.1,0.01,sigmoid,"{'C': 100, 'coef0': -0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.24313725490196078,0.2795275590551181,0.2874015748031496,0.33070866141732286,0.24803149606299213,0.2777613092481087,0.03156632189999396,70
159,0.46811776161193847,0.007501272608454833,0.015804529190063477,0.0025495138493173883,100.0,-0.1,0.001,sigmoid,"{'C': 100, 'coef0': -0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.3137254901960784,0.3346456692913386,0.3228346456692913,0.38976377952755903,0.35039370078740156,0.34227265709433385,0.026729407137668696,10
160,0.5049859523773194,0.014705680749896557,0.01631441116333008,0.0018731747740414499,100.0,-0.1,0.0001,sigmoid,"{'C': 100, 'coef0': -0.1, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.2627450980392157,0.2677165354330709,0.28346456692913385,0.3228346456692913,0.3188976377952756,0.2911316967731975,0.02525421983694544,59
161,0.49367756843566896,0.009581217784165366,0.016248178482055665,0.002444362933392634,100.0,-0.1,0.0001,sigmoid,"{'C': 100, 'coef0': -0.1, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.2627450980392157,0.2677165354330709,0.28346456692913385,0.3228346456692913,0.3188976377952756,0.2911316967731975,0.02525421983694544,59
162,0.5156332969665527,0.016073218263790347,0.019925403594970702,0.002882531729624508,100.0,-0.01,1.0,sigmoid,"{'C': 100, 'coef0': -0.01, 'gamma': 1, 'kernel': 'sigmoid'}",0.13333333333333333,0.14566929133858267,0.2125984251968504,0.09448818897637795,0.12598425196850394,0.14241469816272967,0.038950555706525364,201
163,0.4792923927307129,0.013242926767530635,0.019371652603149415,0.0024139780260982032,100.0,-0.01,0.1,sigmoid,"{'C': 100, 'coef0': -0.01, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.1450980392156863,0.13385826771653545,0.20866141732283464,0.1377952755905512,0.14566929133858267,0.15421645823683802,0.027584649202306084,169
164,0.43343524932861327,0.02206093057057365,0.01403813362121582,0.003071390070782504,100.0,-0.01,0.01,sigmoid,"{'C': 100, 'coef0': -0.01, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.2196078431372549,0.2637795275590551,0.25196850393700787,0.3188976377952756,0.25984251968503935,0.26281920642272655,0.03206098254030117,76
165,0.4758604526519775,0.013896436093386767,0.01781315803527832,0.0026569845658408297,100.0,-0.01,0.001,sigmoid,"{'C': 100, 'coef0': -0.01, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.30980392156862746,0.33070866141732286,0.3188976377952756,0.39763779527559057,0.33070866141732286,0.3375513354948279,0.03105448902656527,27
166,0.4949295997619629,0.02314392170451254,0.017873334884643554,0.0010941994789190515,100.0,-0.01,0.0001,sigmoid,"{'C': 100, 'coef0': -0.01, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.26666666666666666,0.2677165354330709,0.28346456692913385,0.3228346456692913,0.3188976377952756,0.29191601049868765,0.02440713448233219,54
167,0.4935466766357422,0.014504729531632864,0.01732473373413086,0.0013890243452336674,100.0,-0.01,0.0001,sigmoid,"{'C': 100, 'coef0': -0.01, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.26666666666666666,0.2677165354330709,0.28346456692913385,0.3228346456692913,0.3188976377952756,0.29191601049868765,0.02440713448233219,54
168,0.5071193218231201,0.013404514717125898,0.022306108474731447,0.0017983291752536443,100.0,0.01,1.0,sigmoid,"{'C': 100, 'coef0': 0.01, 'gamma': 1, 'kernel': 'sigmoid'}",0.12549019607843137,0.14960629921259844,0.2125984251968504,0.09055118110236221,0.1220472440944882,0.14005866913694615,0.04084315526524154,216
169,0.48954024314880373,0.025885014401463322,0.01955127716064453,0.0011766434624044724,100.0,0.01,0.1,sigmoid,"{'C': 100, 'coef0': 0.01, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.14901960784313725,0.1377952755905512,0.2047244094488189,0.14566929133858267,0.17716535433070865,0.16287478771035974,0.024789466217337918,152
170,0.43787622451782227,0.026305595954523583,0.015955305099487303,0.0012340322213162073,100.0,0.01,0.01,sigmoid,"{'C': 100, 'coef0': 0.01, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.19215686274509805,0.24015748031496062,0.2559055118110236,0.29133858267716534,0.2755905511811024,0.25102979774587,0.034164399896712404,82
171,0.4520759105682373,0.00819908866108448,0.016392612457275392,0.0015514402577678553,100.0,0.01,0.001,sigmoid,"{'C': 100, 'coef0': 0.01, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.30980392156862746,0.33070866141732286,0.3188976377952756,0.3937007874015748,0.33070866141732286,0.33676393392002474,0.029533657876220403,28
172,0.4684109687805176,0.008858759782230783,0.01637897491455078,0.0010397940701852954,100.0,0.01,0.0001,sigmoid,"{'C': 100, 'coef0': 0.01, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.26666666666666666,0.2677165354330709,0.28346456692913385,0.3228346456692913,0.3188976377952756,0.29191601049868765,0.02440713448233219,54
173,0.4879815101623535,0.02298809008393949,0.01688857078552246,0.0011771040004920719,100.0,0.01,0.0001,sigmoid,"{'C': 100, 'coef0': 0.01, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.26666666666666666,0.2677165354330709,0.28346456692913385,0.3228346456692913,0.3188976377952756,0.29191601049868765,0.02440713448233219,54
174,0.5037293434143066,0.016112879341197147,0.019749832153320313,0.0016682919672091404,100.0,0.1,1.0,sigmoid,"{'C': 100, 'coef0': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}",0.14901960784313725,0.14173228346456693,0.15354330708661418,0.1220472440944882,0.11023622047244094,0.13531573259224952,0.016530260186212398,227
